MachineID,Timestamp,Temperature,Vibration,Pressure,RPM,OperatingHours,LastMaintenanceDays,Failure
1,2024-01-01 00:00:00,71.12,2.174,108.11,1232.9,46.8,27,0
1,2024-01-01 01:00:00,65.71,2.049,113.61,1210.1,51.1,31,0
1,2024-01-01 02:00:00,66.36,1.854,109.23,1186.4,56.3,26,0
1,2024-01-01 03:00:00,65.03,2.022,111.57,1222.5,49.8,17,0
1,2024-01-01 04:00:00,66.73,2.262,110.26,1205.7,59.3,35,0
1,2024-01-01 05:00:00,70.34,2.304,106.38,1211.5,56.4,27,0
1,2024-01-01 06:00:00,69.68,2.458,110.34,1200.7,56.7,35,0
1,2024-01-01 07:00:00,68.19,1.891,108.63,1227.6,59.9,25,0
1,2024-01-01 08:00:00,69.77,2.139,109.25,1249.5,62.6,27,0
1,2024-01-01 09:00:00,68.87,2.048,105.05,1199.5,57.1,41,0
1,2024-01-01 10:00:00,68.88,2.045,103.25,1214.1,54.4,32,0
1,2024-01-01 11:00:00,67.94,2.094,112.69,1234.7,63.8,28,0
1,2024-01-01 12:00:00,66.38,1.803,104.74,1220.8,58.0,33,0
1,2024-01-01 13:00:00,66.12,1.887,111.89,1182.8,63.7,30,0
1,2024-01-01 14:00:00,68.86,2.222,110.71,1230.0,67.6,32,0
1,2024-01-01 15:00:00,69.27,1.755,114.44,1233.1,61.4,34,0
1,2024-01-01 16:00:00,70.57,2.187,108.64,1190.9,62.6,38,0
1,2024-01-01 17:00:00,67.49,2.784,106.24,1235.7,73.1,39,0
1,2024-01-01 18:00:00,69.74,2.082,107.22,1176.1,65.5,24,0
1,2024-01-01 19:00:00,66.18,2.026,109.73,1186.0,72.3,33,0
1,2024-01-01 20:00:00,68.85,2.156,111.08,1335.5,72.1,33,0
1,2024-01-01 21:00:00,65.95,1.855,116.22,1163.0,72.3,13,0
1,2024-01-01 22:00:00,67.62,1.603,107.09,1225.6,72.5,31,0
1,2024-01-01 23:00:00,63.44,1.982,106.9,1215.6,79.8,36,0
1,2024-01-02 00:00:00,66.54,1.73,105.5,1246.6,77.5,31,0
1,2024-01-02 01:00:00,70.02,1.714,110.61,1242.3,69.0,30,0
1,2024-01-02 02:00:00,70.97,1.53,113.45,1175.4,81.4,33,0
1,2024-01-02 03:00:00,68.27,1.917,114.1,1180.2,77.7,41,0
1,2024-01-02 04:00:00,68.05,1.739,107.51,1244.5,81.1,32,0
1,2024-01-02 05:00:00,65.83,1.758,109.22,1222.6,83.4,27,0
1,2024-01-02 06:00:00,69.14,2.17,113.2,1219.7,86.3,28,0
1,2024-01-02 07:00:00,68.14,1.887,106.83,1281.8,78.2,33,0
1,2024-01-02 08:00:00,67.47,1.657,112.21,1214.6,75.7,23,0
1,2024-01-02 09:00:00,67.98,1.774,107.87,1226.0,91.1,28,0
1,2024-01-02 10:00:00,66.05,1.862,111.85,1214.3,83.9,19,0
1,2024-01-02 11:00:00,68.85,2.441,111.3,1205.1,92.9,20,0
1,2024-01-02 12:00:00,70.39,2.214,111.9,1224.6,82.2,29,0
1,2024-01-02 13:00:00,63.33,1.785,110.23,1274.7,92.5,33,0
1,2024-01-02 14:00:00,64.85,2.476,112.82,1205.0,81.8,31,0
1,2024-01-02 15:00:00,67.26,2.297,109.3,1220.5,96.9,37,0
1,2024-01-02 16:00:00,67.73,2.08,104.68,1257.4,93.1,30,0
1,2024-01-02 17:00:00,71.61,2.453,111.22,1260.1,85.8,23,0
1,2024-01-02 18:00:00,65.18,1.323,113.78,1221.1,94.2,30,0
1,2024-01-02 19:00:00,63.36,1.899,110.38,1190.9,90.1,38,0
1,2024-01-02 20:00:00,66.43,1.688,108.96,1188.0,91.4,30,0
1,2024-01-02 21:00:00,66.56,2.056,109.17,1213.2,99.7,24,0
1,2024-01-02 22:00:00,64.84,2.383,111.15,1227.5,96.6,22,0
1,2024-01-02 23:00:00,66.17,1.513,107.27,1184.5,104.6,31,0
1,2024-01-03 00:00:00,67.65,1.668,106.17,1213.4,95.3,32,0
1,2024-01-03 01:00:00,64.76,2.098,107.3,1204.1,94.7,20,0
2,2024-01-01 00:00:00,69.21,1.68,79.47,1094.8,93.7,27,0
2,2024-01-01 01:00:00,68.73,1.702,84.28,1042.2,91.9,27,0
2,2024-01-01 02:00:00,70.72,1.83,86.16,1120.8,100.2,23,0
2,2024-01-01 03:00:00,68.38,1.927,85.49,1066.1,96.1,24,0
2,2024-01-01 04:00:00,69.95,1.876,78.37,1048.3,99.9,34,0
2,2024-01-01 05:00:00,70.1,1.341,80.08,1111.5,111.2,32,0
2,2024-01-01 06:00:00,67.29,1.719,84.7,1064.2,114.0,27,0
2,2024-01-01 07:00:00,68.06,1.729,86.6,1051.1,110.0,33,0
2,2024-01-01 08:00:00,65.02,2.475,85.62,1043.7,110.4,40,0
2,2024-01-01 09:00:00,66.83,2.134,89.28,1063.7,118.3,29,0
2,2024-01-01 10:00:00,68.32,2.302,84.01,1065.7,99.1,27,0
2,2024-01-01 11:00:00,65.63,1.585,83.7,1033.4,103.8,30,0
2,2024-01-01 12:00:00,71.91,2.312,83.67,1045.3,123.1,30,0
2,2024-01-01 13:00:00,69.02,1.957,84.23,1061.7,103.2,35,0
2,2024-01-01 14:00:00,70.9,1.367,80.16,1055.1,111.9,34,0
2,2024-01-01 15:00:00,70.07,1.666,82.56,1093.1,109.0,22,0
2,2024-01-01 16:00:00,67.84,2.36,86.15,1066.7,106.4,25,0
