UserID,ItemID,Rating
231,116,4
334,161,3
87,21,0
141,126,2
251,132,5
379,78,3
30,29,0
282,50,0
258,55,4
234,128,1
104,95,0
428,89,5
95,59,5
166,171,0
250,87,0
126,60,5
396,141,0
63,38,0
384,50,0
189,8,0
104,34,4
343,40,4
179,86,0
318,93,2
343,24,3
68,170,1
86,133,1
252,15,0
223,123,0
409,89,0
125,113,2
166,150,2
363,87,0
321,54,0
414,93,3
100,77,0
135,136,0
217,120,0
208,74,3
380,78,2
435,172,3
419,129,0
413,179,0
412,16,0
319,76,0
421,79,0
460,61,0
70,17,0
20,59,0
376,145,0
57,83,0
51,87,5
68,84,4
62,7,4
178,180,0
265,61,1
20,106,0
81,150,1
397,140,4
264,149,1
278,18,2
451,54,0
26,94,1
264,138,1
363,54,0
81,146,0
352,102,0
99,39,2
399,53,3
80,16,5
360,70,4
303,9,0
447,34,1
427,86,0
371,64,0
268,151,0
207,97,0
96,173,0
303,58,4
118,5,2
444,96,0
124,146,0
277,54,5
469,116,1
188,57,3
412,95,0
99,167,0
2,152,0
401,109,0
109,60,2
247,178,2
451,112,1
321,155,1
136,55,0
108,47,0
369,167,0
429,160,3
138,112,0
443,90,0
17,68,0
407,174,0
97,171,0
242,48,3
60,106,0
69,114,1
361,125,5
258,66,0
162,42,3
276,97,0
125,170,1
47,5,0
402,19,2
206,40,0
42,123,2
107,72,2
135,133,2
24,28,2
20,3,3
421,143,0
432,3,0
193,73,5
34,137,0
318,120,5
351,143,1
455,36,0
131,113,1
110,114,3
325,10,3
417,141,0
291,83,3
326,168,0
33,56,5
147,171,0
396,41,1
409,106,1
151,176,3
195,170,0
276,139,2
352,124,4
370,13,0
342,35,0
146,159,0
444,125,4
347,60,1
124,23,0
431,30,0
115,90,0
217,104,0
372,15,0
120,145,0
128,11,0
14,50,0
410,72,1
439,78,1
357,56,2
248,17,0
111,164,0
38,101,0
240,62,0
44,56,0
42,114,2
466,161,0
277,79,2
326,67,0
304,161,3
27,72,0
248,101,0
322,140,0
278,17,0
293,38,0
96,139,2
319,81,4
429,27,2
272,66,0
5,82,5
464,70,0
115,7,0
417,43,0
347,29,2
221,96,0
444,117,0
427,132,0
89,137,5
144,51,0
368,104,0
156,53,1
442,73,2
264,177,0
298,155,1
341,152,5
24,60,2
398,53,2
416,106,0
168,42,0
367,104,0
110,100,2
319,49,4
71,7,5
200,80,0
254,101,0
351,87,2
359,126,5
369,4,5
426,3,1
91,3,0
138,177,0
470,94,0
309,87,4
230,89,0
49,135,0
29,48,0
16,94,0
358,134,0
455,127,0
32,49,0
427,57,0
185,54,0
293,84,0
304,118,1
6,162,0
191,78,1
160,154,2
14,180,0
214,150,4
16,91,0
266,153,0
31,21,3
132,68,0
346,132,0
301,4,2
325,23,0
444,107,0
208,133,2
152,10,2
329,48,2
16,53,2
296,100,3
69,45,0
433,39,0
251,82,5
54,110,3
294,143,0
7,78,0
357,44,3
287,171,2
459,84,1
10,29,0
446,116,0
269,172,2
77,44,3
156,2,0
432,33,4
371,75,2
304,67,3
221,164,0
191,133,0
215,119,0
296,19,0
47,65,4
93,97,1
426,94,0
314,79,0
212,8,0
91,33,0
410,100,3
114,129,0
11,55,0
146,175,0
209,30,4
297,171,0
213,18,0
27,68,0
278,152,0
168,6,0
368,18,0
366,30,0
378,149,3
141,76,0
295,24,0
306,132,0
51,52,1
369,45,0
344,28,5
418,81,3
357,62,0
280,39,2
380,21,1
121,13,0
387,160,2
470,81,0
379,68,0
101,66,1
463,66,0
259,166,0
205,170,0
280,88,0
17,40,1
149,119,0
376,35,0
53,165,0
279,97,0
10,117,2
280,175,2
21,73,0
330,36,1
429,44,0
91,161,1
83,77,0
282,21,5
108,158,0
283,71,0
397,81,5
132,142,0
466,175,0
387,129,0
306,78,0
213,154,2
164,51,0
235,1,0
373,116,5
52,120,0
86,46,0
332,10,0
86,137,1
401,128,0
357,6,0
341,51,0
395,44,0
14,29,0
456,110,2
197,122,0
26,6,2
144,60,0
446,134,0
275,18,0
329,131,5
126,72,0
223,80,4
191,42,3
383,105,0
199,76,0
227,122,0
196,102,0
257,17,0
272,9,0
375,137,0
140,119,0
404,167,5
355,72,0
313,117,0
120,147,4
398,103,0
124,123,0
377,92,0
50,148,0
456,32,2
257,17,0
322,32,0
45,9,2
1,5,0
63,164,0
152,132,2
281,135,0
142,72,0
224,27,0
71,153,0
67,90,3
96,93,0
330,126,5
157,116,2
435,18,0
449,130,0
56,79,0
32,80,0
51,79,0
321,117,0
81,105,0
220,71,4
457,86,0
46,47,0
79,166,1
127,109,3
357,161,0
382,103,0
37,142,0
397,40,0
107,92,0
422,32,0
461,25,1
158,104,0
34,102,0
296,179,0
80,141,0
63,48,0
87,48,0
274,155,0
284,80,5
361,77,0
164,9,0
245,122,1
185,32,0
310,116,0
144,62,1
78,22,1
108,17,0
304,160,4
205,113,0
186,91,0
227,16,2
30,45,0
80,39,0
396,93,5
280,116,3
34,28,0
306,130,0
179,47,0
282,84,0
75,122,0
407,165,0
330,66,2
280,166,0
317,174,0
325,114,0
35,162,0
245,31,0
280,84,0
423,92,0
374,176,0
163,160,4
448,174,0
103,121,4
367,29,2
454,124,1
441,50,1
360,39,0
37,14,0
411,123,0
102,81,2
83,44,0
418,11,0
287,139,2
245,21,0
110,94,5
231,8,0
444,72,1
204,150,3
241,155,0
107,69,0
97,30,2
81,108,0
321,67,0
381,163,0
39,51,0
229,20,5
152,164,3
240,54,0
418,145,0
183,53,0
306,72,1
272,13,3
20,66,0
231,162,1
283,7,3
463,24,5
271,95,0
462,81,0
274,20,0
296,39,3
436,32,1
366,180,0
273,49,1
23,98,4
328,141,1
148,86,1
436,23,0
289,46,0
81,173,0
295,18,4
443,160,1
184,169,2
375,100,0
441,158,0
344,84,0
7,77,4
438,136,0
349,20,3
78,160,0
281,52,5
196,21,0
294,176,0
52,72,0
374,144,5
35,145,3
466,140,4
83,48,1
177,52,2
79,129,0
94,179,0
437,15,0
104,38,3
115,39,0
374,39,5
452,35,1
146,149,0
368,65,5
275,23,0
115,50,0
372,51,0
362,112,0
139,80,5
231,180,5
77,62,3
157,38,1
29,114,2
79,23,0
173,8,2
342,117,0
251,178,4
321,108,0
72,27,0
175,123,0
428,83,2
253,146,0
391,172,0
106,157,0
147,6,1
409,159,5
155,13,0
297,128,3
280,44,0
362,98,0
203,81,0
356,13,0
321,139,0
326,148,0
105,140,0
446,94,2
133,105,2
155,28,5
234,149,2
1,92,2
409,77,2
417,72,0
158,54,3
87,11,0
53,99,3
247,36,0
102,7,1
271,139,1
454,66,0
317,78,0
213,48,5
49,53,0
108,33,0
23,77,0
78,80,0
433,102,0
416,121,0
463,149,3
141,152,0
286,130,0
286,166,0
314,94,0
164,64,0
98,16,0
270,31,1
66,112,2
379,168,0
409,25,2
452,7,3
414,120,0
28,100,0
294,144,0
97,6,0
169,127,2
47,99,0
157,132,2
145,35,0
10,112,0
15,163,0
368,126,0
172,5,0
231,117,2
226,74,2
307,169,0
224,38,3
443,162,0
124,86,0
43,40,0
20,109,0
193,68,0
207,164,0
91,134,0
228,94,1
309,38,0
359,114,4
260,5,3
336,153,0
462,11,0
26,171,0
292,167,0
312,136,0
350,27,0
430,169,1
463,25,2
266,74,1
333,54,2
461,165,0
142,101,0
111,161,1
352,71,0
175,46,0
339,51,1
374,156,0
275,27,0
171,69,0
94,113,3
154,18,0
298,51,0
335,98,0
173,150,3
60,73,0
216,55,2
311,25,1
26,177,5
167,65,5
412,173,2
134,27,3
203,85,3
12,91,5
30,38,4
143,146,2
180,29,0
145,146,3
441,119,2
203,113,0
468,129,1
405,23,4
393,83,0
372,147,0
318,87,1
460,27,0
430,34,0
178,148,0
424,95,0
429,41,1
393,137,0
278,16,0
142,38,0
312,46,1
43,120,1
198,84,0
31,161,1
386,145,0
52,45,0
373,38,0
355,124,2
68,179,0
357,163,0
214,30,0
244,100,1
429,137,0
333,50,3
381,95,0
334,54,4
413,175,2
63,19,5
107,92,0
216,28,4
167,90,5
264,15,0
342,118,0
64,12,5
256,101,2
258,128,0
182,155,0
287,169,0
306,1,5
144,122,0
357,111,2
308,24,2
346,122,0
10,17,0
205,27,0
457,71,0
240,73,5
27,93,0
447,84,0
300,167,2
59,141,1
359,86,5
429,146,0
216,60,0
194,91,0
14,48,0
268,55,4
412,110,2
178,131,0
257,17,0
162,177,2
464,175,5
370,178,0
345,154,0
281,132,2
239,32,0
276,74,0
10,123,0
411,40,3
193,127,0
144,133,1
354,124,4
441,179,0
269,128,0
17,165,0
340,97,5
221,104,0
359,112,5
470,42,0
202,157,0
381,19,0
53,85,0
437,105,0
429,177,5
193,37,1
377,70,0
249,118,0
389,37,0
189,16,1
20,77,3
418,64,0
413,131,2
470,42,0
174,73,4
61,64,1
325,168,0
321,122,0
103,60,1
437,70,1
160,11,0
108,80,0
422,67,2
281,35,0
163,22,0
192,20,2
106,4,0
358,25,0
452,169,0
405,143,0
3,37,0
398,9,2
239,7,0
436,72,0
418,104,5
222,148,1
80,7,3
303,14,4
287,50,5
459,5,0
192,157,2
352,36,0
79,19,0
17,146,0
429,78,4
18,135,2
332,10,0
109,44,0
454,142,0
93,180,0
294,148,0
19,120,4
324,66,4
158,98,2
158,179,0
33,105,0
241,74,0
313,147,3
216,79,0
116,4,0
260,5,2
117,101,3
445,75,0
281,115,0
428,82,5
2,158,5
30,82,0
148,177,2
370,35,0
468,55,2
195,8,0
93,7,2
258,85,5
36,160,0
45,42,5
87,114,5
331,177,1
235,75,5
31,92,4
212,92,0
409,75,1
18,77,0
243,133,1
62,32,0
186,178,2
330,81,0
22,171,0
96,122,0
250,123,2
442,164,5
326,137,2
250,95,0
260,31,0
347,8,0
265,15,0
224,72,0
371,15,0
211,57,1
92,81,0
159,75,0
335,10,0
387,146,2
153,107,0
178,121,0
335,10,0
29,96,0
266,13,0
132,116,0
341,53,1
57,97,3
198,135,1
220,142,0
342,30,0
170,52,0
120,105,0
364,165,0
321,118,0
18,173,3
352,33,5
407,168,0
5,34,0
465,92,0
230,125,0
219,113,0
288,21,0
218,14,0
15,148,0
199,158,0
419,141,1
246,36,0
373,3,0
104,135,0
361,142,0
307,110,0
8,69,0
6,119,2
313,31,1
67,131,4
412,74,0
379,138,0
453,140,0
428,57,0
352,144,2
356,149,0
367,51,0
363,126,0
245,134,2
78,134,1
65,86,5
6,6,0
191,148,0
90,56,0
352,10,0
113,30,5
128,78,1
22,31,2
391,105,2
172,47,0
114,19,0
395,157,0
242,45,3
451,96,2
202,168,3
337,51,1
271,65,0
10,42,0
244,95,3
201,78,0
403,159,0
392,111,1
432,158,5
108,48,1
132,165,0
47,5,0
178,24,0
86,82,0
430,69,3
349,127,0
412,16,0
113,17,0
176,149,3
259,17,1
189,50,1
403,102,0
285,151,5
231,29,2
443,45,0
384,11,0
214,82,5
211,38,0
43,117,0
454,166,0
305,39,1
1,160,1
249,136,0
369,19,0
414,79,1
77,78,3
432,30,0
144,172,4
455,112,0
253,119,0
291,156,0
110,114,3
307,46,0
423,148,2
338,50,2
150,53,0
213,66,0
151,64,0
255,137,3
65,2,5
132,78,2
142,148,0
89,49,4
149,87,3
416,8,0
106,27,0
104,105,0
53,91,3
81,104,1
357,105,0
233,98,0
259,17,0
78,46,0
112,157,5
388,61,0
346,136,5
418,59,0
272,10,0
360,76,2
212,179,4
129,27,0
193,170,0
305,4,0
215,79,0
415,103,4
247,82,2
132,22,0
449,117,1
241,26,0
394,42,1
293,154,0
142,46,0
163,29,5
194,2,0
443,17,1
58,53,0
1,61,0
403,53,0
460,95,3
23,143,0
410,131,0
40,121,0
295,120,3
411,143,5
261,73,5
446,154,1
324,24,0
109,24,0
411,7,1
268,85,4
259,79,2
59,52,1
262,130,0
251,68,4
316,124,1
466,113,0
217,65,0
432,148,1
374,37,0
387,109,0
199,89,0
434,29,5
330,32,0
244,142,1
404,28,0
223,116,0
167,28,4
156,95,0
17,117,2
80,134,1
432,116,2
372,109,0
465,71,0
465,15,0
292,15,2
351,132,0
226,52,2
340,29,2
309,157,0
112,171,0
138,76,0
402,78,0
