UserID,Age,Region
1,40,East
2,33,East
3,32,North
4,32,West
5,53,North
6,44,West
7,29,North
8,41,North
9,37,South
10,12,South
11,22,South
12,38,South
13,52,North
14,32,East
15,28,East
16,36,North
17,27,East
18,31,South
19,34,North
20,22,West
21,44,South
22,20,East
23,19,West
24,37,West
25,43,North
26,37,North
27,33,South
28,31,South
29,29,South
30,47,East
31,38,North
32,30,West
33,26,North
34,42,West
35,47,West
36,46,North
37,24,West
38,31,East
39,29,South
40,32,South
41,44,West
42,51,South
43,39,West
44,27,East
45,34,East
46,53,South
47,36,South
48,31,East
49,32,South
50,39,West
51,25,West
52,28,West
53,45,West
54,38,North
55,36,West
56,46,West
57,26,North
58,31,South
59,38,North
60,38,East
61,18,North
62,29,South
63,33,East
64,39,East
65,38,West
66,34,South
67,11,South
68,34,North
69,35,North
70,64,South
71,32,North
72,38,South
73,48,North
74,44,East
75,51,East
76,18,East
77,23,North
78,28,East
79,16,East
80,35,North
81,23,West
82,53,North
83,25,West
84,31,West
85,44,West
86,20,East
87,15,North
88,37,West
89,38,South
90,44,South
91,41,West
92,38,West
93,26,North
94,37,West
95,38,North
96,26,North
97,57,East
98,40,North
99,23,South
100,44,East
101,46,East
102,39,East
103,32,South
104,25,North
105,34,West
106,39,East
107,35,East
108,52,South
109,42,South
110,24,North
111,22,West
112,40,West
113,32,North
114,43,West
115,40,West
116,34,West
117,24,West
118,16,South
119,37,West
120,20,East
121,24,East
122,36,West
123,35,West
124,21,East
125,47,South
126,47,South
127,41,West
128,41,West
129,41,West
130,81,East
131,46,West
132,42,South
133,25,East
134,32,North
135,62,South
136,12,East
137,29,North
138,48,East
139,26,East
140,43,North
141,35,East
142,27,East
143,10,West
144,37,South
145,25,North
146,33,West
147,41,South
148,45,North
149,29,East
150,27,East
151,19,West
152,46,East
153,60,South
154,47,North
155,50,North
156,26,North
157,40,South
158,44,North
159,-3,North
160,22,South
161,54,East
162,17,North
163,52,East
164,17,West
165,23,North
166,40,East
167,35,West
168,30,East
169,54,South
170,20,East
171,33,West
172,42,West
173,38,North
174,27,South
175,27,North
176,45,East
177,45,East
178,38,West
179,25,West
180,28,West
181,34,South
182,36,West
183,41,West
184,32,South
185,44,North
186,44,West
187,50,South
188,35,West
189,38,West
190,33,East
191,25,South
192,60,South
193,48,West
194,44,West
195,34,North
196,24,East
197,46,South
198,33,North
199,39,East
200,28,North
201,37,North
202,28,West
203,29,North
204,37,West
205,17,West
206,18,West
207,26,West
208,32,East
209,45,North
210,33,South
211,34,North
212,31,North
213,38,East
214,25,East
215,33,South
216,39,West
217,37,North
218,35,East
219,35,East
220,40,East
221,60,East
222,25,West
223,61,South
224,25,North
225,9,East
226,28,North
227,39,South
228,57,West
229,24,West
230,40,West
231,19,West
232,56,West
233,49,West
234,29,North
235,14,West
236,51,West
237,33,South
238,49,South
239,35,West
240,35,West
241,29,South
242,42,North
243,36,North
244,41,East
245,16,North
246,50,East
247,53,East
248,36,West
249,59,West
250,56,South
251,42,East
252,51,North
253,47,South
254,13,South
255,31,East
256,43,West
257,54,West
258,18,West
259,14,South
260,34,West
261,10,East
262,33,North
263,39,North
264,23,South
265,34,East
266,46,North
267,28,North
