Age,Income,CreditScore,AccountAgeMonths,NumTransactions,AvgTransactionAmount,CustomerTier,Region,Feedback,SignupDate,Target,IsDrifted
46.0,82.85,732.4,0.8,10,67.93,Gold,East,Average,2023-08-25,0,0
33.1,51.7,569.4,1.7,16,42.96,Bronze,South,Good,2021-11-17,0,0
45.0,148.34,685.3,14.3,16,19.61,Bronze,North,Good,2022-08-13,1,0
49.9,43.27,710.4,4.0,21,4.19,Platinum,North,Good,2022-10-13,0,0
45.5,94.78,624.5,1.8,10,35.77,Silver,South,Good,2022-12-22,0,0
37.5,61.92,624.6,0.3,13,48.41,Gold,East,Poor,2022-08-18,1,0
30.6,54.25,692.5,1.1,21,9.28,Silver,East,Good,2020-08-18,1,0
30.3,,745.8,8.1,15,26.13,Gold,South,Good,2023-11-01,1,0
41.5,42.54,797.3,1.6,12,17.77,Bronze,East,Good,2021-03-17,0,0
40.7,394.63,690.4,0.8,12,25.57,Gold,North,Average,2020-10-06,1,0
34.7,112.95,796.7,9.8,13,21.43,Gold,West,Good,2021-05-03,1,0
30.6,74.2,740.7,8.5,16,7.5,Bronze,North,Poor,2022-11-26,0,0
41.3,,746.0,9.5,22,16.75,Silver,East,Good,2024-02-05,1,0
52.6,199.35,736.7,1.4,13,9.36,Silver,West,Average,2022-11-22,1,0
43.8,,745.5,2.8,13,19.61,Silver,West,Good,2022-03-26,1,0
37.3,138.16,723.7,16.6,20,18.95,Bronze,West,Good,2020-05-07,1,0
26.2,207.22,657.2,1.9,20,8.83,Gold,East,Good,2021-06-21,1,0
57.2,90.41,766.5,7.9,21,44.28,Bronze,North,Average,2022-05-03,1,0
35.0,128.69,600.4,8.8,14,28.24,Bronze,South,Average,2022-07-24,0,0
32.1,150.12,660.4,0.1,17,18.32,Bronze,North,Good,2023-02-15,0,0
44.5,242.45,633.7,1.4,13,87.79,Bronze,North,Good,2022-10-05,1,0
48.4,129.02,675.9,5.2,20,3.76,Bronze,West,Average,2022-10-12,0,0
40.8,71.44,705.7,2.5,17,34.11,Silver,West,Good,2023-12-11,0,0
35.0,84.2,622.8,5.3,14,49.08,Bronze,South,Good,2022-04-05,0,0
32.4,152.33,727.6,8.2,13,11.38,Bronze,West,Poor,2023-10-24,1,0
36.1,634.22,622.8,0.5,20,10.23,Platinum,East,Good,2023-10-22,1,0
35.9,104.54,716.2,6.1,19,76.73,Bronze,South,Poor,2023-05-02,1,0
53.9,67.6,666.8,0.4,18,59.63,Silver,West,Good,2024-01-14,1,0
47.8,124.17,742.0,1.4,14,49.73,Bronze,East,Good,2020-02-27,1,0
42.7,90.7,704.9,17.4,15,10.82,Silver,South,Average,2023-07-06,0,0
38.7,161.71,627.4,1.0,15,37.61,Silver,North,Poor,2021-05-16,1,0
32.2,70.66,784.2,12.6,16,5.03,Silver,West,Good,2023-06-16,1,0
43.3,106.4,577.4,1.6,20,9.77,Silver,North,Poor,2021-12-17,1,0
-1.7,76.63,674.1,8.5,26,41.03,Gold,East,Good,2022-07-07,1,0
52.7,31.34,640.8,11.7,13,3.93,Gold,South,Average,2020-03-21,0,0
36.6,33.15,699.7,2.0,17,27.73,Bronze,North,Good,2020-04-04,0,0
52.0,78.16,723.4,4.6,13,20.33,Bronze,East,Average,2021-06-07,1,0
31.6,102.35,694.4,8.2,18,16.83,Bronze,South,Good,2021-04-18,0,0
50.4,119.42,682.1,2.5,9,41.33,Bronze,East,Poor,2020-03-26,1,0
52.7,133.24,656.3,3.9,16,20.03,Silver,North,Good,2021-11-22,1,0
23.2,126.19,667.5,1.0,12,13.6,Gold,North,Average,2022-11-29,1,0
39.9,118.02,740.8,6.3,15,31.61,Gold,North,Poor,2022-04-15,1,0
21.7,145.28,643.0,3.3,15,24.88,Bronze,North,Good,2020-06-20,1,0
68.7,62.64,689.3,9.5,18,22.82,Platinum,West,Good,2021-05-27,1,0
