acidity,sugar,alcohol,pH,sulphates,quality,quality_label
4.87,5.97,12.0,3.71,0.66,8,good
7.75,5.69,13.64,3.04,0.644,8,good
6.66,18.22,13.32,4.02,0.348,8,good
5.99,5.74,9.08,3.66,0.761,6,bad
3.78,6.17,9.04,3.02,0.584,8,good
3.78,15.43,9.88,4.15,0.482,8,good
3.29,9.55,10.53,3.53,0.678,8,good
7.33,15.76,10.86,2.9,0.429,8,good
6.01,2.24,12.76,3.68,0.647,8,good
6.54,10.26,8.4,3.15,0.32,8,good
3.1,1.64,8.24,3.93,0.72,7,good
7.85,2.19,10.74,3.94,0.524,7,good
7.16,18.22,12.88,4.17,0.618,8,good
4.06,3.65,9.35,3.5,0.411,8,good
3.91,11.12,12.49,3.44,0.639,8,good
3.92,8.81,9.82,3.85,0.686,8,good
4.52,7.6,14.2,2.99,0.537,8,good
5.62,18.1,14.27,3.57,0.609,8,good
5.16,1.41,10.08,3.56,0.528,6,bad
4.46,13.61,9.61,2.93,0.747,8,good
6.06,19.3,10.88,3.39,0.549,8,good
3.7,11.64,9.68,3.99,0.721,8,good
4.46,18.8,12.71,4.0,0.701,8,good
4.83,1.99,13.78,2.94,0.505,8,good
5.28,8.96,12.71,2.93,0.415,8,good
6.93,5.94,13.77,3.17,0.503,8,good
4.0,14.89,10.78,4.02,0.713,8,good
5.57,19.64,9.09,2.98,0.414,8,good
5.96,5.87,13.17,3.81,0.562,8,good
3.23,13.43,10.52,2.94,0.703,8,good
6.04,4.76,12.7,3.67,0.477,8,good
3.85,11.74,9.89,3.3,0.621,8,good
3.33,9.81,8.57,3.9,0.423,8,good
7.74,19.47,14.95,3.13,0.355,8,good
7.83,12.56,9.09,3.69,0.697,8,good
7.04,7.64,14.92,3.13,0.349,8,good
4.52,3.17,14.84,3.8,0.436,8,good
3.49,3.87,13.56,4.02,0.728,8,good
6.42,5.28,12.62,2.98,0.473,8,good
5.2,5.77,12.04,4.01,0.787,8,good
3.61,17.16,14.06,3.63,0.79,8,good
5.48,11.66,10.03,2.98,0.434,8,good
3.17,10.94,11.27,3.4,0.32,8,good
7.55,3.18,12.34,3.03,0.653,8,good
4.29,17.34,10.88,3.78,0.525,8,good
6.31,14.73,10.99,3.86,0.35,8,good
4.56,2.29,10.31,2.95,0.654,8,good
5.6,14.45,11.95,3.51,0.316,8,good
5.73,11.33,13.95,3.94,0.735,8,good
3.92,2.55,9.41,4.11,0.369,8,good
7.85,9.71,14.54,3.52,0.364,8,good
6.88,10.21,12.82,4.13,0.388,8,good
7.7,4.15,13.76,3.55,0.78,8,good
7.47,18.97,11.89,3.35,0.647,8,good
5.99,17.15,13.46,3.99,0.701,8,good
7.61,13.71,8.11,3.49,0.499,8,good
3.44,9.78,13.73,3.46,0.468,8,good
3.98,8.82,8.28,3.49,0.417,8,good
3.23,13.37,14.23,3.99,0.54,8,good
4.63,11.36,14.94,3.96,0.576,8,good
4.94,2.18,10.06,3.36,0.616,7,good
4.36,10.74,9.47,3.27,0.429,8,good
7.14,16.32,13.36,3.49,0.774,8,good
4.78,9.73,9.77,3.6,0.385,8,good
4.4,1.99,14.06,3.13,0.783,8,good
5.71,15.94,8.72,3.91,0.307,8,good
3.7,4.83,8.88,3.48,0.541,8,good
7.01,5.91,14.85,3.27,0.467,8,good
3.37,4.13,12.72,2.95,0.525,8,good
7.93,7.27,13.93,3.13,0.585,8,good
6.86,15.38,10.27,4.13,0.518,8,good
3.99,10.87,12.74,3.23,0.507,8,good
3.03,4.89,12.16,3.04,0.666,8,good
7.08,17.68,12.22,3.44,0.643,8,good
6.53,17.71,12.78,3.23,0.717,8,good
6.65,17.54,12.03,2.85,0.425,8,good
6.86,5.54,11.0,3.25,0.605,7,good
3.37,9.57,9.93,3.56,0.593,8,good
4.79,19.71,13.38,3.57,0.485,8,good
3.58,15.67,9.58,3.3,0.543,8,good
7.32,1.52,12.85,3.43,0.457,7,good
6.12,2.24,9.63,4.15,0.371,6,bad
4.65,9.81,12.38,3.33,0.407,8,good
3.32,18.28,13.23,3.16,0.353,8,good
4.55,11.24,9.53,3.14,0.642,8,good
4.63,10.46,8.42,3.44,0.63,8,good
6.65,3.0,8.92,3.86,0.775,7,good
6.19,13.48,12.24,3.09,0.665,8,good
7.44,16.62,13.95,3.79,0.326,8,good
5.36,8.23,8.31,2.83,0.742,8,good
3.6,15.74,13.14,3.39,0.731,8,good
6.57,19.33,10.39,3.89,0.522,8,good
6.8,4.87,11.35,3.27,0.593,8,good
5.81,10.94,14.5,3.59,0.788,8,good
6.85,6.46,10.32,3.09,0.566,7,good
5.47,16.06,11.26,3.84,0.753,8,good
5.61,11.97,8.1,2.87,0.342,8,good
5.14,13.06,8.57,3.99,0.396,8,good
3.13,16.16,9.81,3.08,0.52,8,good
3.54,8.52,8.19,4.02,0.592,8,good
3.16,18.39,12.42,3.29,0.708,8,good
6.18,11.13,10.98,3.81,0.794,8,good
4.57,4.0,11.84,3.25,0.494,8,good
5.54,14.22,9.22,4.07,0.324,8,good
7.54,16.07,10.07,2.98,0.701,8,good
4.25,7.02,12.65,3.05,0.602,8,good
5.05,17.29,14.76,3.49,0.399,8,good
6.78,18.22,8.35,2.91,0.547,8,good
4.14,6.26,14.23,3.07,0.671,8,good
3.38,19.69,12.04,4.12,0.685,8,good
4.45,3.67,11.95,4.17,0.55,8,good
3.81,4.84,11.5,3.33,0.453,8,good
7.65,4.5,8.49,4.09,0.787,6,bad
7.04,17.99,8.63,3.56,0.632,8,good
6.17,13.43,12.21,3.18,0.504,8,good
7.36,3.89,10.39,3.78,0.44,8,good
7.02,9.37,14.42,3.72,0.666,8,good
3.93,12.69,10.85,4.18,0.421,8,good
7.46,2.59,9.0,3.17,0.386,8,good
5.7,17.77,13.0,3.74,0.565,8,good
7.04,16.27,10.05,2.87,0.445,8,good
7.48,10.6,11.68,2.96,0.614,8,good
4.59,19.38,12.88,2.81,0.359,8,good
3.55,8.94,14.3,4.2,0.627,8,good
4.14,19.7,13.55,3.92,0.442,8,good
5.14,13.69,12.73,3.9,0.3,8,good
7.09,13.06,12.76,3.51,0.363,8,good
7.3,4.15,14.62,3.22,0.767,8,good
3.03,17.76,10.07,3.01,0.734,8,good
5.55,9.12,8.01,3.2,0.417,8,good
5.09,4.08,9.9,3.33,0.689,7,good
4.11,1.24,9.53,3.86,0.604,8,good
3.6,11.64,12.63,3.56,0.785,8,good
4.69,11.02,12.44,2.91,0.487,8,good
7.71,14.67,12.15,2.83,0.641,8,good
4.62,17.91,8.11,2.94,0.332,8,good
5.59,2.51,13.1,3.37,0.498,7,good
6.52,14.9,10.26,4.11,0.782,8,good
4.82,4.56,12.66,3.69,0.569,8,good
7.86,17.31,11.9,3.92,0.444,8,good
7.81,16.56,10.4,3.45,0.36,8,good
4.26,11.28,8.94,3.31,0.652,8,good
5.49,14.49,8.66,2.95,0.622,8,good
4.5,6.97,13.82,4.03,0.487,8,good
4.42,9.95,14.43,3.9,0.775,8,good
3.18,16.61,12.55,3.04,0.311,8,good
6.05,9.73,8.72,3.52,0.452,8,good
5.51,7.8,10.81,3.48,0.761,8,good
3.26,10.39,13.1,3.68,0.46,8,good
4.39,16.74,13.46,4.12,0.426,8,good
7.54,7.37,8.83,3.61,0.567,6,bad
4.2,4.3,8.0,3.56,0.712,6,bad
3.72,14.53,12.98,2.87,0.352,8,good
5.45,16.69,10.5,2.89,0.772,8,good
7.93,2.91,9.78,3.06,0.698,6,bad
4.21,5.56,8.09,2.85,0.391,8,good
6.36,3.7,11.78,3.84,0.656,8,good
6.81,7.61,13.96,3.81,0.492,8,good
4.19,9.56,14.7,2.99,0.501,8,good
6.64,15.23,11.96,3.97,0.692,8,good
4.84,13.37,11.6,3.02,0.781,8,good
6.16,12.8,8.6,3.22,0.363,8,good
6.17,7.7,11.84,3.15,0.51,8,good
5.68,16.99,10.66,3.32,0.54,8,good
3.45,9.95,12.25,3.16,0.488,8,good
7.18,19.6,10.72,3.48,0.482,8,good
4.6,13.05,9.68,3.37,0.326,8,good
3.93,3.4,8.66,4.18,0.643,8,good
3.2,13.85,10.2,2.88,0.518,8,good
5.95,7.18,8.68,3.0,0.397,7,good
6.39,14.04,9.24,2.87,0.708,8,good
3.08,2.32,14.91,3.68,0.701,8,good
5.56,4.32,11.11,2.88,0.543,8,good
4.13,17.26,11.72,3.97,0.449,8,good
6.23,5.32,14.12,3.52,0.619,8,good
3.87,16.9,14.97,3.54,0.444,8,good
6.45,6.31,12.08,3.59,0.418,8,good
4.93,13.21,13.69,3.04,0.665,8,good
7.68,14.19,10.29,3.08,0.32,8,good
3.69,10.74,10.14,3.25,0.347,8,good
4.71,6.8,10.82,3.63,0.303,8,good
3.57,5.04,12.71,3.09,0.376,8,good
7.62,1.63,12.78,2.96,0.334,7,good
7.39,6.77,10.21,4.16,0.798,8,good
4.29,13.41,8.93,2.83,0.444,8,good
6.3,18.83,12.43,3.92,0.375,8,good
7.09,17.55,8.9,3.9,0.42,8,good
5.78,15.56,12.05,3.22,0.768,8,good
5.65,15.98,12.85,2.99,0.56,8,good
4.21,13.63,12.9,3.0,0.482,8,good
3.47,5.95,13.27,3.78,0.737,8,good
7.49,18.24,14.11,3.7,0.497,8,good
7.5,13.74,11.5,3.9,0.468,8,good
6.17,11.65,13.11,4.11,0.404,8,good
4.7,3.11,12.33,3.77,0.489,8,good
4.75,9.49,9.31,3.02,0.458,8,good
6.63,9.75,8.18,3.14,0.639,8,good
7.49,17.43,9.99,3.98,0.445,8,good
7.44,11.39,11.1,3.09,0.589,8,good
6.9,8.23,12.32,2.9,0.333,8,good
6.21,19.56,13.95,3.78,0.396,8,good
