CustomerID,Age,AnnualIncome,SpendingScore
CUST_0204,53,50.8,23.4
CUST_0267,36,91.8,32.0
CUST_0153,38,52.1,48.3
CUST_0010,23,15.0,76.5
CUST_0234,57,31.1,22.8
CUST_0227,53,18.4,11.0
CUST_0197,53,40.9,12.2
CUST_0110,28,75.0,78.5
CUST_0006,19,30.8,95.3
CUST_0176,41,58.0,50.3
CUST_0238,50,39.8,21.1
CUST_0058,18,15.0,90.2
CUST_0219,48,29.7,26.5
CUST_0046,18,23.2,82.9
CUST_0183,58,47.0,19.8
CUST_0222,53,53.4,27.3
CUST_0290,44,87.7,37.8
CUST_0212,63,52.2,28.1
CUST_0149,50,55.9,50.3
CUST_0166,48,58.2,37.4
CUST_0079,25,83.6,82.3
CUST_0114,22,86.8,78.9
CUST_0250,31,76.7,26.3
CUST_0251,36,93.4,25.6
CUST_0105,23,97.1,76.7
CUST_0043,19,17.3,88.1
CUST_0282,36,101.3,26.3
CUST_0296,27,91.9,34.5
CUST_0158,52,51.7,43.2
CUST_0239,53,41.6,17.5
CUST_0018,22,17.6,77.7
CUST_0165,43,59.1,44.7
CUST_0034,18,17.4,81.6
CUST_0025,18,15.0,81.8
CUST_0216,44,26.8,17.8
CUST_0120,29,85.0,74.2
CUST_0008,24,28.0,76.0
CUST_0091,28,91.5,79.9
CUST_0047,18,35.1,85.8
CUST_0074,19,88.3,85.7
CUST_0094,28,80.1,75.3
CUST_0077,21,90.1,84.8
CUST_0287,35,102.6,34.1
CUST_0061,28,73.7,74.2
CUST_0078,26,74.3,77.8
CUST_0064,27,86.9,84.3
CUST_0235,60,60.6,19.7
CUST_0230,51,45.6,31.9
CUST_0112,26,76.1,90.3
CUST_0232,53,49.0,19.3
CUST_0181,59,46.1,16.0
CUST_0145,41,49.6,45.4
CUST_0240,57,38.8,19.6
CUST_0076,27,76.1,80.1
CUST_0298,34,82.0,31.0
CUST_0279,31,90.7,29.9
CUST_0098,24,75.2,77.8
CUST_0093,30,89.3,80.5
CUST_0193,61,42.2,17.6
CUST_0026,21,16.0,85.5
CUST_0233,57,37.8,16.2
CUST_0060,25,26.0,99.0
CUST_0007,28,19.4,73.1
CUST_0186,51,55.0,20.7
CUST_0174,51,70.9,41.5
CUST_0031,18,20.8,81.8
CUST_0023,20,31.8,68.7
CUST_0257,36,89.7,24.2
CUST_0057,18,19.7,80.1
CUST_0187,58,33.8,18.2
CUST_0109,21,82.2,75.0
CUST_0127,46,52.3,45.5
CUST_0231,55,54.8,21.5
CUST_0194,56,31.0,17.4
CUST_0130,41,45.9,56.2
CUST_0283,48,108.4,26.6
CUST_0083,30,54.1,74.3
CUST_0085,18,78.0,73.0
CUST_0067,27,76.2,88.9
CUST_0289,32,86.6,34.1
CUST_0164,45,61.7,54.0
CUST_0155,51,55.8,46.0
CUST_0020,18,15.0,71.4
CUST_0125,48,65.2,44.7
CUST_0080,19,86.2,79.1
CUST_0115,36,82.9,79.9
CUST_0119,22,86.5,82.3
CUST_0073,26,97.0,85.8
CUST_0016,18,26.6,90.8
CUST_0011,18,22.9,69.1
CUST_0195,57,59.6,10.1
CUST_0102,18,85.3,81.7
CUST_0069,21,94.1,83.8
CUST_0225,56,38.0,9.1
CUST_0038,18,22.1,83.3
CUST_0017,18,20.7,74.5
CUST_0180,45,69.0,46.0
CUST_0148,54,52.5,44.0
CUST_0275,30,98.3,29.8
CUST_0068,25,74.8,75.9
CUST_0229,59,38.2,5.4
CUST_0070,18,83.2,78.6
CUST_0032,29,27.7,82.4
CUST_0184,62,50.8,16.2
