MovieID,Genre,Runtime,Budget,ReleaseYear,IMDbRating
MOV_0001,Comedy,102,53.1,1997,3.2
MOV_0002,Horror,145,50.1,1996,2.7
MOV_0003,Sci-Fi,185,181.3,2003,2.9
MOV_0004,Drama,168,50.7,1992,4.4
MOV_0005,Action,177,55.1,2005,2.1
MOV_0006,Action,159,152.1,2008,3.0
MOV_0007,Action,163,90.5,2007,3.3
MOV_0008,Horror,182,155.6,2005,2.1
MOV_0009,Drama,110,14.0,1997,3.9
MOV_0010,Sci-Fi,139,98.0,2022,3.6
MOV_0011,Action,107,7.7,2001,2.9
MOV_0012,Horror,199,13.5,2000,1.0
MOV_0013,Sci-Fi,193,181.4,1994,1.9
MOV_0014,Action,85,28.7,2016,2.9
MOV_0015,Action,165,107.0,2001,3.1
MOV_0016,Action,191,82.8,2006,2.0
MOV_0017,Comedy,102,70.1,1995,3.8
MOV_0018,Drama,148,180.1,2022,4.2
MOV_0019,Comedy,190,5.3,1994,1.1
MOV_0020,Comedy,84,133.1,2017,3.8
MOV_0021,Drama,164,192.7,2003,4.8
MOV_0022,Action,116,112.5,1994,2.1
MOV_0023,Comedy,191,187.4,2022,3.3
MOV_0024,Comedy,197,11.4,2008,1.7
MOV_0025,Drama,193,84.3,2011,4.2
MOV_0026,Sci-Fi,137,52.8,1994,3.5
MOV_0027,Action,183,146.4,1991,2.6
MOV_0028,Drama,181,196.3,2019,4.2
MOV_0029,Drama,118,52.0,1993,4.1
MOV_0030,Action,179,131.2,2022,2.0
MOV_0031,Drama,84,40.4,2002,5.6
MOV_0032,Action,152,113.5,2009,2.5
MOV_0033,Action,108,93.3,1996,4.1
MOV_0034,Horror,94,194.4,2004,2.7
MOV_0035,Horror,89,122.1,2012,3.3
MOV_0036,Sci-Fi,164,70.6,2003,2.4
MOV_0037,Comedy,121,23.7,2012,3.5
MOV_0038,Action,167,31.1,2008,2.2
MOV_0039,Drama,88,45.8,2018,4.6
MOV_0040,Comedy,118,50.9,2009,3.8
MOV_0041,Action,145,170.3,2018,2.9
MOV_0042,Drama,175,112.7,2013,3.5
MOV_0043,Action,118,105.2,2007,3.6
MOV_0044,Horror,155,23.8,1999,1.3
MOV_0045,Comedy,186,172.2,1997,3.4
MOV_0046,Drama,154,144.8,2015,4.9
MOV_0047,Comedy,108,14.5,2018,3.0
MOV_0048,Drama,83,141.9,1999,5.7
MOV_0049,Drama,184,109.2,2006,4.3
MOV_0050,Action,83,17.3,1991,2.7
MOV_0051,Horror,185,92.2,1995,2.7
MOV_0052,Sci-Fi,143,97.5,1994,2.7
MOV_0053,Horror,193,34.0,2017,1.4
MOV_0054,Horror,176,189.2,1994,2.2
MOV_0055,Drama,200,170.1,2007,4.3
MOV_0056,Horror,122,134.1,2015,3.3
MOV_0057,Action,172,93.0,2009,3.2
MOV_0058,Action,128,82.9,2016,3.2
