Age,Department,DistanceFromHome,Education,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,Attrition
29,Research & Development,23.1,2,4,55200,0,No,23.6,3,2.1,0.6,No
49,Human Resources,2.8,2,2,27100,2,No,8.4,2,5.5,0.6,No
42,Research & Development,5.1,2,3,85300,5,No,21.8,3,2.4,3.2,No
46,Sales,38.6,2,1,37400,2,Yes,16.1,3,0.3,0.0,No
35,Research & Development,19.9,3,4,34600,2,No,14.0,1,3.4,1.8,No
54,Sales,22.8,3,4,42600,2,No,24.7,4,14.2,0.5,No
47,Research & Development,22.2,2,2,32900,2,Yes,20.0,3,7.5,1.1,Yes
54,Research & Development,8.8,2,3,40800,6,No,17.0,3,2.3,3.7,No
35,Research & Development,4.2,2,2,57700,1,No,21.8,4,3.1,2.9,No
39,Research & Development,9.3,2,2,42700,2,No,18.0,3,1.6,3.6,No
47,Sales,0.7,3,2,30000,4,No,21.4,4,12.9,1.2,No
38,Research & Development,11.6,4,3,33700,2,Yes,23.8,4,6.0,7.7,No
25,Human Resources,1.1,2,4,27500,0,Yes,10.2,3,3.3,0.6,Yes
45,Human Resources,19.2,2,4,28600,4,Yes,20.6,3,0.8,0.0,No
26,Human Resources,33.2,1,4,22500,1,No,21.8,3,2.9,0.9,No
58,Sales,6.7,3,2,56200,0,No,8.6,3,9.6,0.2,Yes
26,Sales,1.9,4,3,33000,1,No,12.7,3,5.7,4.5,No
48,Sales,2.8,3,1,49300,7,Yes,21.7,2,10.8,3.5,Yes
24,Research & Development,1.2,1,2,43300,2,No,12.9,2,33.3,2.1,Yes
45,Sales,4.9,2,1,85500,3,Yes,13.9,3,9.6,2.4,No
47,Research & Development,6.4,2,3,26300,3,No,17.8,3,0.5,0.0,No
45,Research & Development,11.0,3,2,82400,3,No,11.2,3,0.3,0.0,Yes
53,Research & Development,14.5,2,2,20000,1,No,18.7,2,0.9,0.0,Yes
27,Human Resources,11.1,3,4,29100,3,No,14.1,3,5.1,3.3,No
38,Research & Development,7.5,2,3,46200,3,No,17.2,3,15.1,2.9,No
28,Sales,12.8,4,2,151200,1,No,16.8,1,5.8,0.4,No
51,Research & Development,8.2,1,2,57900,3,No,16.8,3,7.6,1.6,No
53,Human Resources,0.3,3,2,38700,3,No,19.9,3,4.2,9.9,Yes
39,Research & Development,4.0,3,2,40200,1,Yes,20.4,3,4.9,11.2,No
49,Research & Development,0.8,3,4,26300,4,No,10.7,3,3.5,2.4,No
36,Sales,0.2,3,3,34700,4,No,14.9,3,12.3,10.7,Yes
25,Sales,0.4,3,3,25700,2,No,18.5,2,26.6,4.4,No
28,Research & Development,5.0,2,3,26300,1,No,20.8,1,1.4,5.3,No
26,Research & Development,3.2,2,3,67100,2,Yes,22.9,4,0.7,0.0,No
28,Human Resources,0.8,2,2,30600,1,No,19.4,4,20.0,0.5,Yes
49,Research & Development,10.8,2,3,42600,4,No,12.2,1,0.1,0.0,Yes
33,Sales,5.6,4,3,41900,7,Yes,13.8,2,1.9,11.2,Yes
59,Human Resources,5.4,2,1,30800,5,No,21.7,4,0.8,0.0,No
50,Research & Development,1.2,4,3,34100,2,No,24.1,4,9.7,2.9,No
46,Research & Development,0.9,3,4,43900,1,No,13.8,3,9.0,0.1,Yes
28,Sales,8.4,3,2,49400,4,No,8.4,2,1.5,3.6,No
41,Research & Development,55.5,2,4,36400,2,Yes,13.9,4,18.9,0.9,No
34,Human Resources,0.1,2,4,20000,3,No,20.4,2,7.4,1.5,No
52,Research & Development,19.3,2,4,28800,6,No,19.5,3,3.5,4.8,No
24,Research & Development,3.0,4,2,40200,2,Yes,13.2,2,0.1,0.0,No
26,Sales,0.8,4,3,35500,2,No,22.9,2,13.8,2.0,Yes
34,Sales,11.9,2,3,50300,0,No,8.6,2,7.6,3.9,No
34,Research & Development,0.3,3,3,51200,4,Yes,11.6,4,0.9,0.0,Yes
23,Research & Development,12.5,2,4,53300,3,No,10.2,3,10.8,1.8,No
48,Human Resources,58.7,1,4,23000,3,No,10.5,4,6.5,0.5,No
32,Research & Development,1.7,1,1,31200,2,Yes,9.4,3,3.0,0.3,No
22,Sales,1.8,3,3,56000,3,No,22.6,3,1.5,10.5,Yes
32,Human Resources,12.6,1,2,27800,1,No,17.3,1,28.2,6.4,No
59,Human Resources,1.0,2,3,20000,2,Yes,15.7,3,0.5,0.0,Yes
34,Sales,12.7,2,2,47800,3,Yes,13.0,3,8.3,7.9,Yes
51,Sales,0.5,4,4,26700,4,Yes,12.4,3,30.1,2.2,No
28,Sales,4.9,1,2,33600,5,No,17.0,3,3.9,7.1,Yes
46,Sales,5.7,1,3,21500,1,No,21.8,1,4.5,1.4,No
40,Research & Development,5.0,4,2,28400,4,No,18.4,3,2.4,5.4,Yes
37,Human Resources,11.0,2,3,49700,3,No,21.8,3,1.5,0.5,No
43,Sales,13.6,2,2,32500,4,No,15.5,3,4.1,3.3,No
32,Sales,12.9,4,3,61500,4,No,13.8,3,1.8,0.6,No
25,Sales,5.1,2,2,37100,3,No,12.1,4,8.5,14.7,Yes
50,Research & Development,13.6,4,4,30300,3,No,12.4,4,8.5,3.1,No
33,Sales,4.9,2,4,43000,0,No,19.1,3,1.9,2.6,No
40,Human Resources,12.3,2,3,24900,3,No,13.1,3,11.3,1.1,No
40,Research & Development,4.0,4,3,27700,6,Yes,14.4,2,6.1,0.5,No
58,Research & Development,21.9,1,2,53000,2,Yes,20.5,4,5.0,0.5,Yes
45,Sales,5.4,2,2,46700,2,No,8.1,3,8.4,0.4,Yes
32,Research & Development,46.3,4,4,50400,2,No,12.0,3,0.7,0.0,No
28,Human Resources,0.3,2,2,21200,1,No,13.0,3,16.1,4.7,No
54,Human Resources,4.8,2,3,30500,2,No,17.6,4,0.5,0.0,No
38,Sales,3.2,3,3,70300,3,No,12.8,3,8.6,1.6,No
28,Research & Development,33.3,2,2,20000,5,No,20.6,3,3.2,2.3,No
38,Research & Development,0.5,3,3,76200,0,No,12.8,3,3.7,2.5,No
25,Sales,9.6,2,2,41500,3,Yes,8.5,4,13.5,0.5,Yes
46,Research & Development,12.6,3,1,35400,3,No,16.4,3,5.1,1.6,No
57,Sales,2.7,4,1,20000,3,No,24.5,4,20.1,1.0,No
35,Sales,18.2,2,4,41800,2,No,18.5,4,8.5,4.0,No
26,Research & Development,10.5,3,3,31000,2,Yes,15.8,4,0.8,0.0,No
33,Research & Development,16.5,4,2,65900,3,No,17.5,3,5.6,0.8,Yes
59,Sales,14.3,2,3,20000,1,No,22.9,3,5.2,1.4,No
51,Research & Development,22.8,2,2,53800,5,No,8.6,2,3.5,0.5,Yes
34,Research & Development,13.2,3,4,38500,4,Yes,17.9,4,6.7,3.1,No
32,Sales,6.7,4,4,50200,1,No,20.2,2,1.3,0.3,No
49,Sales,17.5,1,3,39300,1,No,8.6,4,4.4,9.8,No
59,Human Resources,3.4,2,3,37800,2,No,8.2,3,9.8,1.5,No
49,Sales,10.7,3,2,23500,3,No,24.5,4,3.3,6.8,No
43,Human Resources,25.9,1,2,22400,3,No,15.2,3,1.5,6.0,Yes
52,Research & Development,16.2,3,4,36400,1,No,16.1,3,12.7,3.1,No
53,Sales,13.7,3,4,41800,3,No,23.7,4,7.0,0.6,No
35,Research & Development,7.2,3,2,32900,3,Yes,10.6,2,7.1,2.1,Yes
39,Human Resources,0.6,4,4,31500,1,No,23.8,3,1.4,1.7,No
55,Human Resources,4.6,3,4,25200,1,No,24.5,2,1.2,0.0,No
32,Sales,38.3,2,2,32000,1,No,20.7,3,21.0,7.0,Yes
26,Research & Development,19.6,3,3,49300,4,No,18.5,2,10.2,3.9,No
29,Research & Development,17.5,2,4,34600,2,No,17.3,3,0.4,0.0,No
48,Human Resources,36.8,3,1,42900,3,No,19.8,3,4.9,1.6,No
28,Sales,2.5,3,1,20000,2,Yes,16.5,3,1.3,1.8,No
36,Sales,0.5,2,2,60700,1,No,23.0,3,8.4,2.2,No
58,Human Resources,0.2,4,4,45600,6,Yes,20.2,3,3.6,1.4,No
31,Research & Development,6.8,4,3,70700,1,Yes,24.8,3,13.0,0.1,No
23,Research & Development,21.4,2,2,25300,2,Yes,9.2,4,5.6,1.6,No
25,Human Resources,15.5,2,4,34400,8,No,17.7,1,1.1,1.7,No
55,Research & Development,18.9,2,4,52100,0,No,20.7,4,7.4,1.0,No
36,Research & Development,2.1,1,4,74800,5,No,13.6,3,8.1,1.3,No
42,Research & Development,0.3,2,3,61200,5,No,15.8,3,3.1,5.1,No
