Date,Temp_Max,Temp_Min,Humidity,WindSpeed,Precipitation,Pressure
2021-01-01,6.3,-3.0,69.3,11.5,0.0,987.8
2021-01-02,4.5,-14.1,52.0,7.7,0.0,989.0
2021-01-03,1.7,-9.1,54.0,6.8,0.0,1001.4
2021-01-04,4.6,-5.0,56.7,5.8,0.0,996.4
2021-01-05,6.7,-1.7,57.0,5.5,0.0,981.1
2021-01-06,0.2,-9.0,54.7,7.3,0.0,1017.7
2021-01-07,2.4,-2.7,60.5,4.4,0.0,994.2
2021-01-08,1.4,-5.7,50.3,22.5,0.0,1001.4
2021-01-09,0.0,-4.7,50.5,2.8,0.0,994.5
2021-01-10,4.6,-3.4,48.1,3.5,0.0,981.4
2021-01-11,11.4,3.9,48.3,11.8,0.0,989.9
2021-01-12,3.1,-4.6,53.7,7.7,0.0,986.8
2021-01-13,0.2,-6.6,52.1,4.1,0.0,987.2
2021-01-14,6.8,4.7,65.3,5.8,0.0,992.3
2021-01-15,6.7,-3.7,45.9,2.4,0.0,996.1
2021-01-16,4.2,-7.2,43.1,10.2,0.0,997.9
2021-01-17,3.7,-2.6,64.3,9.1,0.0,994.3
2021-01-18,1.5,-5.8,65.4,5.9,0.0,992.3
2021-01-19,6.7,-11.4,54.1,8.9,0.0,999.6
2021-01-20,3.1,-2.6,53.2,5.9,0.0,999.9
2021-01-21,3.6,2.6,57.2,8.2,0.0,1005.5
2021-01-22,3.1,-4.0,80.4,11.3,0.0,988.2
2021-01-23,2.5,-5.6,40.1,7.6,0.0,996.5
2021-01-24,5.2,-5.6,56.2,4.7,0.0,1003.7
2021-01-25,8.0,1.5,51.1,6.2,0.0,990.9
2021-01-26,3.4,-8.3,25.2,8.6,0.0,986.2
2021-01-27,2.0,1.0,43.1,6.0,0.0,986.8
2021-01-28,7.2,-2.4,56.0,10.1,0.0,998.8
2021-01-29,3.7,-9.7,50.6,2.8,0.0,993.5
2021-01-30,4.7,-1.8,45.3,7.4,0.0,996.0
2021-01-31,5.4,3.9,57.5,7.2,0.0,1001.8
2021-02-01,-0.4,-6.2,52.2,9.1,0.0,1005.0
2021-02-02,8.9,0.3,52.0,5.1,0.0,997.4
2021-02-03,12.1,-5.6,62.6,6.0,0.0,1001.8
2021-02-04,5.5,-0.6,47.6,9.7,0.0,980.0
2021-02-05,18.8,-0.8,55.9,19.3,0.0,993.9
2021-02-06,4.0,0.1,41.4,5.5,0.0,1006.5
2021-02-07,6.6,-1.4,44.7,8.6,0.0,999.5
2021-02-08,12.1,8.6,43.2,8.2,0.0,998.8
2021-02-09,9.3,1.0,41.7,6.9,0.0,985.1
2021-02-10,13.0,0.4,32.5,9.0,5.0,994.9
2021-02-11,12.0,-9.6,31.0,13.7,0.0,995.3
2021-02-12,11.6,-4.0,47.4,15.0,2.0,985.4
2021-02-13,11.1,-2.4,56.9,9.8,0.0,982.1
2021-02-14,14.8,0.6,29.7,10.8,0.0,989.8
2021-02-15,9.5,-2.5,47.6,10.4,0.0,987.5
2021-02-16,6.7,-5.2,60.6,4.2,3.9,1003.6
2021-02-17,4.0,1.8,63.4,8.7,2.0,1003.1
2021-02-18,9.9,4.7,51.6,8.4,0.0,984.8
2021-02-19,9.6,8.2,44.2,8.1,12.8,992.4
2021-02-20,12.6,5.0,56.7,6.7,0.0,1000.5
2021-02-21,11.1,-0.5,33.2,6.7,0.0,1006.6
2021-02-22,9.6,3.2,53.3,4.5,0.0,1006.0
2021-02-23,4.4,1.4,40.5,13.2,0.0,997.3
2021-02-24,8.8,5.1,71.4,10.2,0.0,1000.3
2021-02-25,10.2,5.7,57.7,10.0,9.2,996.3
2021-02-26,13.2,9.6,33.3,8.9,0.0,994.6
2021-02-27,14.5,-1.5,42.8,5.5,1.0,996.4
2021-02-28,7.9,0.4,41.4,9.7,0.0,989.5
2021-03-01,15.2,13.0,61.0,8.1,0.0,1005.0
2021-03-02,9.6,7.0,54.7,8.0,0.1,1018.6
2021-03-03,16.1,3.8,40.9,8.1,0.0,992.0
2021-03-04,10.5,5.8,39.1,5.4,0.0,990.2
2021-03-05,11.2,5.2,38.6,4.9,0.0,999.5
2021-03-06,18.3,4.7,54.6,16.1,0.0,1000.3
2021-03-07,21.6,7.4,59.2,3.8,13.6,1002.0
2021-03-08,11.6,10.6,41.1,3.8,0.0,987.9
2021-03-09,10.9,4.5,60.4,10.9,0.0,995.6
2021-03-10,17.1,0.2,46.8,3.9,0.0,1002.1
2021-03-11,13.5,12.5,42.7,7.7,0.0,987.4
2021-03-12,17.2,9.4,52.1,7.4,0.0,994.2
2021-03-13,17.1,7.4,65.7,13.1,0.0,996.8
2021-03-14,19.7,6.4,48.1,8.3,0.0,983.1
2021-03-15,17.9,15.3,60.9,6.3,0.0,999.7
2021-03-16,12.7,7.7,51.4,8.4,0.0,1003.5
2021-03-17,16.7,7.1,39.6,8.4,0.0,1007.7
2021-03-18,15.3,12.0,27.0,13.3,0.0,1003.1
2021-03-19,23.5,13.7,36.7,6.0,1.1,1000.1
2021-03-20,17.0,16.0,40.1,11.1,0.0,1004.1
2021-03-21,20.0,5.9,51.4,5.2,0.0,1001.8
2021-03-22,14.6,10.0,46.9,8.7,0.0,1003.4
2021-03-23,18.9,6.0,52.6,5.4,0.0,1003.3
2021-03-24,23.1,13.6,32.3,4.7,0.0,997.7
2021-03-25,18.3,9.8,44.4,12.7,3.9,1017.9
2021-03-26,19.7,12.9,52.6,14.3,0.0,1003.7
2021-03-27,21.2,13.3,30.8,10.9,0.0,993.4
2021-03-28,17.3,10.7,43.2,8.6,2.7,998.1
2021-03-29,16.9,15.9,36.8,5.7,0.0,1012.3
2021-03-30,15.7,7.9,54.6,7.5,18.6,1000.0
2021-03-31,27.2,7.6,47.4,11.8,0.0,998.5
2021-04-01,21.8,14.5,30.8,4.7,0.0,1002.2
2021-04-02,23.3,17.6,51.4,9.7,0.3,999.7
2021-04-03,16.7,9.3,43.1,9.3,0.0,1010.1
2021-04-04,19.1,7.7,45.5,10.9,0.0,1005.6
2021-04-05,16.3,7.4,39.7,6.1,0.4,995.8
2021-04-06,24.5,11.8,45.1,6.4,0.0,1007.8
2021-04-07,24.5,13.8,29.7,3.2,0.0,1014.9
2021-04-08,30.0,17.6,27.9,6.1,6.1,1004.8
2021-04-09,17.7,15.6,47.5,10.3,0.0,998.6
2021-04-10,34.8,13.2,56.0,5.7,0.0,1006.8
2021-04-11,27.5,18.3,20.3,11.1,0.0,991.0
2021-04-12,27.6,6.1,29.9,4.4,7.0,995.2
2021-04-13,25.6,9.7,42.2,10.4,0.0,994.8
2021-04-14,18.2,16.6,50.7,10.2,0.8,1001.4
2021-04-15,21.6,18.3,43.0,11.4,0.0,1003.4
2021-04-16,25.0,14.7,59.3,11.0,0.0,999.4
2021-04-17,19.2,17.1,49.1,4.6,0.1,1015.6
2021-04-18,25.6,10.0,50.3,5.1,0.0,1001.8
2021-04-19,24.8,20.5,37.1,3.5,0.0,992.7
2021-04-20,22.6,15.8,32.5,7.0,0.0,1016.3
2021-04-21,26.9,18.1,17.2,7.4,0.0,1013.2
2021-04-22,22.3,21.0,51.0,9.7,2.8,1012.9
2021-04-23,29.9,17.1,24.5,8.8,2.2,994.2
2021-04-24,21.7,17.1,50.2,6.9,1.3,998.4
2021-04-25,27.0,19.3,59.3,9.6,0.0,1011.3
2021-04-26,23.7,16.6,66.9,4.7,0.0,1009.3
2021-04-27,28.3,22.2,31.9,4.8,0.0,1009.1
2021-04-28,29.3,22.7,53.7,11.4,0.0,1021.5
2021-04-29,34.2,21.5,55.6,2.2,0.0,1012.2
2021-04-30,24.6,21.0,33.2,8.1,0.0,1016.1
2021-05-01,34.0,21.6,35.0,3.9,4.9,1023.1
2021-05-02,27.0,17.8,45.2,19.5,11.1,1011.5
2021-05-03,33.8,21.4,53.6,8.7,0.0,998.3
2021-05-04,28.7,17.3,61.3,8.8,12.6,1017.1
2021-05-05,28.9,24.0,57.0,11.2,0.0,1013.9
2021-05-06,35.7,17.5,39.9,4.1,20.4,1005.6
2021-05-07,34.0,23.5,54.9,15.0,0.0,1024.6
2021-05-08,29.2,25.3,42.6,12.4,0.0,1010.9
2021-05-09,29.0,20.6,35.8,5.0,7.0,1011.7
2021-05-10,27.9,21.6,60.0,8.4,0.0,1018.2
2021-05-11,40.2,21.1,60.0,10.1,0.0,1001.4
2021-05-12,32.9,19.4,60.8,9.9,0.0,1015.4
2021-05-13,32.0,20.7,60.0,5.7,0.0,1012.4
2021-05-14,28.7,15.3,52.6,10.8,0.0,1011.5
2021-05-15,29.9,23.7,57.3,5.2,0.2,1016.5
2021-05-16,33.4,18.2,45.2,10.9,0.0,1019.3
2021-05-17,30.6,15.9,61.9,3.0,0.0,1022.6
